ISO,year,country.name,region,Subscriptors.per100,GPDperCapita,years.with.network
LKA,2012,Sri Lanka,South Asia,91.633108745959,6043.254,23
SDN,2012,Sudan,Sub-Saharan Africa,60.492858560272,2573.099,17
SUR,2012,Suriname,South America,106.459373556,12472.008,20
SWZ,2012,Swaziland,Sub-Saharan Africa,65.961547285826,6030.981,15
SWE,2012,Sweden,Wester Europe,124.57217000429,40294.052,32
CHE,2012,Switzerland,Wester Europe,130.21899995236,45127.548,26
TJK,2012,Tajikistan,Former Soviet Republics,92.21960641384,2204.598,17
TZA,2012,Tanzania,Sub-Saharan Africa,57.115732300786,1627.34,19
THA,2012,Thailand,East Asia,120.29254447517,9502.927,27
BHS,2012,Bahamas,Caribbean,80.653833745564,31324.438,23
TLS,2012,Timor-Leste,Australia and Oceania,52.308215843409,20301.228,10
TGO,2012,Togo,Sub-Saharan Africa,49.861130513533,1037.607,16
TON,2012,Tonga,Australia and Oceania,53.388755946649,7987.395,18
TTO,2012,Trinidad and Tobago,Caribbean,140.84253562219,19910.942,22
TUN,2012,Tunisia,Middle East and North Africa,118.08163098286,9650.486,26
TUR,2012,Turkey,Wester Europe,91.463748430885,14811.682,27
TKM,2012,Turkmenistan,Former Soviet Republics,76.417025473566,8640.984,16
TUV,2012,Tuvalu,Australia and Oceania,28.397565922921,3442.773,9
ARE,2012,United Arab Emirates,Middle East and North Africa,149.63908581805,29176.373,31
UGA,2012,Uganda,Sub-Saharan Africa,45.002063508746,1424.223,18
GBR,2012,United Kingdom of Great Britain & Northern Ireland,Wester Europe,130.75077320414,36333.993,28
UKR,2012,Ukraine,Former Soviet Republics,132.050153773,7296.067,20
URY,2012,Uruguay,South America,147.13068510653,15864.671,21
USA,2012,United States of America,North America,98.166103913115,51708.982,29
UZB,2012,Uzbekistan,Former Soviet Republics,72.207639957509,3488.244,20
VUT,2012,Vanuatu,Australia and Oceania,59.080651292961,4810.171,19
VEN,2012,Venezuela,South America,102.10008171774,13480.029,25
VNM,2012,Vietnam,East Asia,149.40999734382,3787.822,21
YEM,2012,Yemen,Middle East and North Africa,58.275036286691,2251.299,21
ZWE,2012,Zimbabwe,Sub-Saharan Africa,96.928285762103,762.015,16
AFG,2011,Afghanistan,South Asia,60.326319991974,990.229,10
ALB,2011,Albania,Eastern Europe,98.291534594023,8846.988,16
DZA,2011,Algeria,Middle East and North Africa,94.314439635323,7096.945,22
AGO,2011,Angola,Sub-Saharan Africa,47.030572597593,5862.443,19
ATG,2011,Antigua and Barbuda,Caribbean,199.66421635357,17398.135,16
ARG,2011,Argentina,South America,145.80249699856,17476.599,23
ARM,2011,Armenia,Former Soviet Republics,108.33620096352,5443.491,16
AUS,2011,Australia,Australia and Oceania,104.61055095623,40501.69,25
AUT,2011,Austria,Wester Europe,154.42603899731,41050.137,27
AZE,2011,Azerbaijan,Former Soviet Republics,109.9720704266,10107.335,18
BHR,2011,Bahrain,Middle East and North Africa,131.00999099604,32126.154,26
BGD,2011,Bangladesh,South Asia,55.192567230597,1834.433,20
BRB,2011,Barbados,Caribbean,123.46063221246,24672.531,21
BLR,2011,Belarus,Former Soviet Republics,113.16886253701,14832.265,19
BEL,2011,Belgium,Wester Europe,113.53095115745,37170.915,26
BLZ,2011,Belize,Central America,70.319653471607,8258.674,19
BEN,2011,Benin,Sub-Saharan Africa,79.40049868121,1489.119,17
BTN,2011,Bhutan,South Asia,66.379181524179,5566.693,9
BOL,2011,Bolivia,South America,80.907719494849,4800.368,21
BIH,2011,Bosnia and Herzegovina,Eastern Europe,84.51733210242,7993.284,16
BWA,2011,Botswana,Sub-Saharan Africa,145.98386974185,14992.501,14
BRA,2011,Brazil,South America,119.00238532348,11646.355,22
BRN,2011,Brunei Darussalam,East Asia,109.01547801787,53546.125,22
BGR,2011,Bulgaria,Eastern Europe,140.67812361715,13669.129,19
BFA,2011,Burkina Faso,Sub-Saharan Africa,48.027193966133,1384.478,16
BDI,2011,Burundi,Sub-Saharan Africa,20.068274138864,599.509,19
KHM,2011,Cambodia,East Asia,96.167941367824,2216.03,19
CMR,2011,Cameroon,Sub-Saharan Africa,49.567400154432,2251.902,18
CAN,2011,Canada,North America,79.412158882078,41515.277,27
CPV,2011,Cape Verde,Sub-Saharan Africa,80.812180464616,4220.282,15
CAF,2011,Central African Republic,Sub-Saharan Africa,22.371403382657,819.244,17
TCD,2011,Chad,Sub-Saharan Africa,31.804800418134,2289.342,12
CHL,2011,Chile,South America,129.41638502676,17097.269,23
CHN,2011,China,East Asia,72.071320904536,8304.532,25
COL,2011,Colombia,South America,98.13425331729,10207.896,18
COM,2011,Comoros,Sub-Saharan Africa,30.91017628846,1218.884,9
COD,2011,Congo,Sub-Saharan Africa,23.089487098985,572.363,17
COG,2011,Congo,Sub-Saharan Africa,91.939099139268,4495.473,16
CRI,2011,Costa Rica,Central America,87.660352746492,11927.72,20
HRV,2011,Croatia,Eastern Europe,118.30135468111,18129.886,22
CYP,2011,Cyprus,Wester Europe,97.709923664122,27269.856,24
CZE,2011,Czech Republic,Eastern Europe,124.0943745649,26916.128,21
DNK,2011,Denmark,Wester Europe,116.74534337151,36872.137,30
DJI,2011,Djibouti,Middle East and North Africa,22.801619567092,2551.982,16
DMA,2011,Dominica,Caribbean,152.55248525931,13882.851,16
DOM,2011,Dominican Republic,Caribbean,86.432079788734,9194.34,22
ECU,2011,Ecuador,South America,100.56559936683,9201.83,18
EGY,2011,Egypt,Middle East and North Africa,101.07633846103,6387.905,25
SLV,2011,El Salvador,Central America,132.92564450033,7099.293,19
GNQ,2011,Equatorial Guinea,Sub-Saharan Africa,66.880261900905,24368.907,16
ERI,2011,Eritrea,Sub-Saharan Africa,4.07795441383,673.461,8
EST,2011,Estonia,Former Soviet Republics,143.92606245819,20524.258,21
ETH,2011,Ethiopia,Sub-Saharan Africa,15.802858215072,1164.24,13
FJI,2011,Fiji,Australia and Oceania,83.763383994626,4745.175,18
